experimento,algoritmo,secuencia1,secuencia2,longitud1,longitud2,tiempo,celdas,score
SW_random,SW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,295230,100030002,1153
SW_random,SW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,173271,100170072,1153
SW_random,SW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,163674,100330272,1153
SW_random,SW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,225623,100490528,1153
SW_random,SW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,187365,100170072,1153
SW_random,SW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,155631,100330272,1153
SW_random,SW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,131646,100490528,1153
NW_random,NW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,275457,100030002,1143
NW_random,NW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,154474,100170072,1143
NW_random,NW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,153939,100330272,1143
NW_random,NW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,198462,100490528,1143
NW_random,NW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,158873,100170072,1143
NW_random,NW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,139160,100330272,1143
NW_random,NW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_7.fasta,10001,10001,120662,100490528,1143
SW_random,SW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_5.fasta,10001,10001,295465,100030002,1107
SW_random,SW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_5.fasta,10001,10001,171579,100170072,1107
